index,Datetime,Open,High,Low,Close,Volume,Pivot,BC,TC,R1,S1,R2,S2,R3,S3,Stock
89,2022-12-02T00:00:00,94.0,94.15,93.05,93.2,18929741,93.47,93.6,93.33,93.88,92.78,94.57,92.37,94.98,91.95,GAIL
90,2022-12-02T00:00:00,773.45,784.0,768.2,781.55,2433246,777.92,776.1,779.73,787.63,771.83,793.72,762.12,803.43,752.4,CONCOR
91,2022-12-02T00:00:00,928.25,934.5,926.1,929.0,28210819,929.87,930.3,929.43,933.63,925.23,938.27,921.47,942.03,917.7,ICICIBANK
92,2022-12-02T00:00:00,1169.65,1185.75,1167.05,1179.8,4597758,1177.53,1176.4,1178.67,1188.02,1169.32,1196.23,1158.83,1206.72,1148.35,INDUSINDBK
93,2022-12-02T00:00:00,190.5,193.0,189.95,191.1,7132783,191.35,191.48,191.22,192.75,189.7,194.4,188.3,195.8,186.9,CUB
94,2022-12-02T00:00:00,898.3,907.0,891.4,905.05,15954217,901.15,899.2,903.1,910.9,895.3,916.75,885.55,926.5,875.8,AXISBANK
95,2022-12-02T00:00:00,466.5,472.4,461.3,471.85,715426,468.52,466.85,470.18,475.73,464.63,479.62,457.42,486.83,450.2,INTELLECT
96,2022-12-02T00:00:00,77.8,78.7,77.65,78.0,15228492,78.12,78.18,78.06,78.58,77.53,79.17,77.07,79.63,76.6,NATIONALUM
97,2022-12-02T00:00:00,564.45,570.8,560.5,564.2,8248619,565.17,565.65,564.68,569.83,559.53,575.47,554.87,580.13,550.2,JINDALSTEL
98,2022-12-02T00:00:00,325.4,333.0,321.75,331.1,11734377,328.62,327.38,329.86,335.48,324.23,339.87,317.37,346.73,310.5,BSOFT
99,2022-12-02T00:00:00,1136.4,1140.4,1123.85,1140.0,5883558,1134.75,1132.12,1137.38,1145.65,1129.1,1151.3,1118.2,1162.2,1107.3,HCLTECH
100,2022-12-02T00:00:00,430.7,436.5,426.55,433.95,1053227,432.33,431.52,433.14,438.12,428.17,442.28,422.38,448.07,416.6,GLENMARK
101,2022-12-02T00:00:00,410.4,416.5,409.2,414.5,1479301,413.4,412.85,413.95,417.6,410.3,420.7,406.1,424.9,401.9,ZYDUSLIFE
102,2022-12-02T00:00:00,1898.0,1942.0,1892.0,1936.85,742704,1923.62,1917.0,1930.23,1955.23,1905.23,1973.62,1873.62,2005.23,1842.0,DALBHARAT
103,2022-12-02T00:00:00,1050.0,1053.9,1031.0,1049.6,2079571,1044.83,1042.45,1047.22,1058.67,1035.77,1067.73,1021.93,1081.57,1008.1,TVSMOTOR
104,2022-12-02T00:00:00,1476.55,1492.4,1464.0,1477.85,365439,1478.08,1478.2,1477.97,1492.17,1463.77,1506.48,1449.68,1520.57,1435.6,METROPOLIS
105,2022-12-02T00:00:00,2616.0,2709.0,2601.0,2676.0,1283145,2662.0,2655.0,2669.0,2723.0,2615.0,2770.0,2554.0,2831.0,2493.0,POLYCAB
106,2022-12-02T00:00:00,1249.0,1252.9,1232.05,1238.8,889548,1241.25,1242.47,1240.03,1250.45,1229.6,1262.1,1220.4,1271.3,1211.2,HAVELLS
107,2022-12-02T00:00:00,877.0,883.85,865.1,881.95,1366625,876.97,874.48,879.46,888.83,870.08,895.72,858.22,907.58,846.35,GODREJCP
108,2022-12-02T00:00:00,611.45,611.45,596.0,604.95,658428,604.13,603.72,604.54,612.27,596.82,619.58,588.68,627.72,580.55,SYNGENE
109,2022-12-02T00:00:00,769.95,779.0,762.4,772.2,1912333,771.2,770.7,771.7,780.0,763.4,787.8,754.6,796.6,745.8,LUPIN
110,2022-12-02T00:00:00,930.0,939.95,924.5,934.05,3155529,932.83,932.22,933.44,941.17,925.72,948.28,917.38,956.62,909.05,MCDOWELL-N
111,2022-12-02T00:00:00,510.0,522.9,508.25,516.0,4649544,515.72,515.58,515.86,523.18,508.53,530.37,501.07,537.83,493.6,GUJGASLTD
112,2022-12-02T00:00:00,851.4,851.95,839.1,848.9,7002621,846.65,845.53,847.77,854.2,841.35,859.5,833.8,867.05,826.25,BHARTIARTL
113,2022-12-02T00:00:00,53.3,54.25,52.75,53.9,193004281,53.63,53.5,53.77,54.52,53.02,55.13,52.13,56.02,51.25,PNB
114,2022-12-02T00:00:00,4430.0,4475.0,4414.55,4465.0,72086,4451.52,4444.77,4458.26,4488.48,4428.03,4511.97,4391.07,4548.93,4354.1,INDIAMART
115,2022-12-02T00:00:00,3128.95,3295.0,3125.05,3217.0,1079172,3212.35,3210.02,3214.68,3299.65,3129.7,3382.3,3042.4,3469.6,2955.1,OFSS
116,2022-12-02T00:00:00,320.55,324.0,317.9,318.5,10685659,320.13,320.95,319.32,322.37,316.27,326.23,314.03,328.47,311.8,CANBK
117,2022-12-02T00:00:00,3395.0,3395.0,3332.0,3383.9,949913,3370.3,3363.5,3377.1,3408.6,3345.6,3433.3,3307.3,3471.6,3269.0,DIVISLAB
118,2022-12-02T00:00:00,8820.0,8928.9,8754.75,8823.0,1932154,8835.55,8841.83,8829.28,8916.35,8742.2,9009.7,8661.4,9090.5,8580.6,MARUTI
119,2022-12-02T00:00:00,58.7,59.35,58.55,59.05,54532548,58.98,58.95,59.02,59.42,58.62,59.78,58.18,60.22,57.75,IDFCFIRSTB
120,2022-12-02T00:00:00,1936.95,1952.85,1912.1,1912.2,766336,1925.72,1932.48,1918.96,1939.33,1898.58,1966.47,1884.97,1980.08,1871.35,INDIGO
121,2022-12-02T00:00:00,436.0,440.35,432.0,437.0,5376186,436.45,436.18,436.72,440.9,432.55,444.8,428.1,449.25,423.65,IGL
122,2022-12-02T00:00:00,780.1,785.0,768.0,784.8,4671726,779.27,776.5,782.03,790.53,773.53,796.27,762.27,807.53,751.0,UPL
123,2022-12-02T00:00:00,210.85,213.85,210.2,212.95,8430746,212.33,212.02,212.64,214.47,210.82,215.98,208.68,218.12,206.55,PETRONET
124,2022-12-02T00:00:00,285.5,285.55,282.0,283.2,1970437,283.58,283.77,283.39,285.17,281.62,287.13,280.03,288.72,278.45,BIOCON
125,2022-12-02T00:00:00,2096.1,2098.9,2069.15,2091.55,3911190,2086.53,2084.02,2089.04,2103.92,2074.17,2116.28,2056.78,2133.67,2039.4,LT
126,2022-12-02T00:00:00,7275.0,7299.0,7159.0,7230.0,884316,7229.33,7229.0,7229.67,7299.67,7159.67,7369.33,7089.33,7439.67,7019.0,ULTRACEMCO
127,2022-12-02T00:00:00,3458.1,3468.9,3413.0,3437.1,4771707,3439.67,3440.95,3438.38,3466.33,3410.43,3495.57,3383.77,3522.23,3357.1,TCS
128,2022-12-02T00:00:00,4137.0,4253.0,4120.1,4250.0,1040484,4207.7,4186.55,4228.85,4295.3,4162.4,4340.6,4074.8,4428.2,3987.2,COFORGE
129,2022-12-02T00:00:00,172.4,172.85,171.15,172.3,12745721,172.1,172.0,172.2,173.05,171.35,173.8,170.4,174.75,169.45,NTPC
130,2022-12-02T00:00:00,2450.95,2485.0,2439.0,2478.0,498210,2467.33,2462.0,2472.67,2495.67,2449.67,2513.33,2421.33,2541.67,2393.0,LALPATHLAB
131,2022-12-02T00:00:00,3140.0,3156.65,3045.55,3132.0,49790,3111.4,3101.1,3121.7,3177.25,3066.15,3222.5,3000.3,3288.35,2934.45,ALKEM
132,2022-12-02T00:00:00,746.65,751.3,740.55,744.55,2781580,745.47,745.92,745.01,750.38,739.63,756.22,734.72,761.13,729.8,JSWSTEEL
133,2022-12-02T00:00:00,341.55,342.8,335.65,339.6,1678152,339.35,339.22,339.47,343.05,335.9,346.5,332.2,350.2,328.5,GRANULES
134,2022-12-02T00:00:00,82.95,84.25,82.4,83.6,12143206,83.42,83.32,83.51,84.43,82.58,85.27,81.57,86.28,80.55,IDFC
135,2022-12-02T00:00:00,1907.3,1914.75,1872.15,1898.0,810073,1894.97,1893.45,1896.48,1917.78,1875.18,1937.57,1852.37,1960.38,1829.55,PVR
136,2022-12-02T00:00:00,265.95,268.9,262.65,263.55,1150623,265.03,265.77,264.29,267.42,261.17,271.28,258.78,273.67,256.4,GSPL
137,2022-12-02T00:00:00,3201.95,3247.7,3195.05,3234.95,241964,3225.9,3221.38,3230.42,3256.75,3204.1,3278.55,3173.25,3309.4,3142.4,JKCEMENT
138,2022-12-02T00:00:00,219.75,230.4,219.45,228.0,14953143,225.95,224.92,226.98,232.45,221.5,236.9,215.0,243.4,208.5,M&MFIN
139,2022-12-02T00:00:00,494.65,501.5,490.85,491.6,5984032,494.65,496.18,493.13,498.45,487.8,505.3,484.0,509.1,480.2,SUNTV
140,2022-12-02T00:00:00,42.75,43.65,42.6,42.8,28869683,43.02,43.12,42.91,43.43,42.38,44.07,41.97,44.48,41.55,GMRINFRA
141,2022-12-02T00:00:00,1101.5,1116.3,1100.05,1113.5,6832209,1109.95,1108.18,1111.73,1119.85,1103.6,1126.2,1093.7,1136.1,1083.8,TECHM
142,2022-12-02T00:00:00,735.0,735.0,727.3,730.0,1848477,730.77,731.15,730.38,734.23,726.53,738.47,723.07,741.93,719.6,IRCTC
143,2022-12-02T00:00:00,4029.35,4054.6,4011.0,4049.95,402134,4038.52,4032.8,4044.23,4066.03,4022.43,4082.12,3994.92,4109.63,3967.4,NAUKRI
144,2022-12-02T00:00:00,541.85,551.5,540.25,550.0,687886,547.25,545.88,548.62,554.25,543.0,558.5,536.0,565.5,529.0,TORNTPOWER
145,2022-12-02T00:00:00,139.5,139.7,137.0,139.25,10441347,138.65,138.35,138.95,140.3,137.6,141.35,135.95,143.0,134.3,PFC
146,2022-12-02T00:00:00,112.8,115.0,111.95,113.3,6144680,113.42,113.48,113.36,114.88,111.83,116.47,110.37,117.93,108.9,FSL
147,2022-12-02T00:00:00,8.15,8.35,8.15,8.3,100087686,8.27,8.25,8.28,8.38,8.18,8.47,8.07,8.58,7.95,IDEA
148,2022-12-02T00:00:00,47501.0,47780.9,47200.1,47569.85,20704,47516.95,47490.5,47543.4,47833.8,47253.0,48097.75,46936.15,48414.6,46619.3,PAGEIND
149,2022-12-02T00:00:00,1937.0,2025.0,1930.0,2017.9,3283678,1990.97,1977.5,2004.43,2051.93,1956.93,2085.97,1895.97,2146.93,1835.0,ASTRAL
150,2022-12-02T00:00:00,4368.05,4424.9,4335.0,4416.3,198348,4392.07,4379.95,4404.18,4449.13,4359.23,4481.97,4302.17,4539.03,4245.1,NAVINFLUOR
151,2022-12-02T00:00:00,414.8,416.25,409.85,410.6,13460688,412.23,413.05,411.42,414.62,408.22,418.63,405.83,421.02,403.45,DLF
152,2022-12-02T00:00:00,218.55,221.5,218.55,219.8,18957277,219.95,220.02,219.88,221.35,218.4,222.9,217.0,224.3,215.6,POWERGRID
153,2022-12-02T00:00:00,228.0,231.9,227.6,228.8,6109039,229.43,229.75,229.12,231.27,226.97,233.73,225.13,235.57,223.3,DELTACORP
154,2022-12-02T00:00:00,894.0,903.6,884.25,886.5,12543642,891.45,893.92,888.97,898.65,879.3,910.8,872.1,918.0,864.9,ADANIPORTS
155,2022-12-02T00:00:00,1610.0,1635.0,1608.5,1618.95,1708557,1620.82,1621.75,1619.88,1633.13,1606.63,1647.32,1594.32,1659.63,1582.0,COLPAL
156,2022-12-02T00:00:00,120.65,121.45,119.55,119.7,11030687,120.23,120.5,119.97,120.92,119.02,122.13,118.33,122.82,117.65,NMDC
157,2022-12-02T00:00:00,186.85,188.15,184.05,185.45,2526496,185.88,186.1,185.67,187.72,183.62,189.98,181.78,191.82,179.95,RAIN
158,2022-12-02T00:00:00,111.5,111.5,110.2,111.0,12228298,110.9,110.85,110.95,111.6,110.3,112.2,109.6,112.9,108.9,RECLTD
159,2022-12-02T00:00:00,3707.0,3712.35,3640.8,3660.0,699361,3671.05,3676.58,3665.52,3701.3,3629.75,3742.6,3599.5,3772.85,3569.25,BAJAJ-AUTO
160,2022-12-02T00:00:00,1632.2,1653.0,1625.25,1644.0,3360637,1640.75,1639.12,1642.38,1656.25,1628.5,1668.5,1613.0,1684.0,1597.5,BAJAJFINSV
161,2022-12-02T00:00:00,1704.2,1757.5,1690.2,1735.0,1411104,1727.57,1723.85,1731.28,1764.93,1697.63,1794.87,1660.27,1832.23,1622.9,UBL
162,2022-12-02T00:00:00,371.05,372.2,366.3,370.0,1379002,369.5,369.25,369.75,372.7,366.8,375.4,363.6,378.6,360.4,CROMPTON
163,2022-12-02T00:00:00,904.5,918.0,899.0,905.0,977811,907.33,908.5,906.17,915.67,896.67,926.33,888.33,934.67,880.0,MGL
164,2022-12-02T09:15:00,5024.0,5125.0,4970.0,5062.0,782219,5052.33,5047.5,5057.17,5134.67,4979.67,5207.33,4897.33,5289.67,4815.0,LTI
165,2022-12-02T00:00:00,1327.0,1342.65,1320.05,1330.25,1656377,1330.98,1331.35,1330.62,1341.92,1319.32,1353.58,1308.38,1364.52,1297.45,GODREJPROP
